taxonomy.name	D2000120	D2000121	D2000122	D2000123	D2000124	D2000125	D2000126	D2000127	D2000128	D2000129	D2000130	D2000131	D2000132	D2000134	D2000135	D2000137	D2000138	D2000139	D2000140	D2000141	D2000142	D2000143	D2000144	D2000145
                Oceanithermus	0	0	16	0	0	45	0	60	0	47	11	24	29	10	67	0	16	99	23	15	25	30	34	0
                Oceanobacillus	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
                Oerskovia	232	28	2313	272	92	2695	50	666	78	1313	198	189	138	603	5325	86	184	458	128	1918	213	615	3408	48
                Olsenella	0	0	15	0	0	49	0	81	0	40	14	29	14	0	58	0	0	58	0	19	14	15	51	0
                Opitutus	134	51	78	35	71	335	90	4173	177	756	404	278	265	102	222	38	104	2578	829	196	227	569	317	63
                Ornithinimicrobium	621	376	551	413	643	2313	490	1842	569	1956	681	1202	541	653	5537	437	849	1806	527	967	1240	1327	1335	389
                Oscillibacter	0	0	0	0	0	0	0	21	0	14	0	0	0	0	19	0	0	25	0	0	0	0	13	0
                Paenarthrobacter	452	517	380	367	1496	775	466	1026	106	1672	1215	386	263	714	2531	766	354	1234	542	538	447	706	1507	81
                Paenibacillus	1023	5855	4721	3065	1476	1300	4525	2476	266	963	8264	1145	1477	7384	1536	2090	1820	2793	564	531	1616	637	6232	124
                Paeniclostridium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0
                Paeniglutamicibacter	69	34	76	50	52	141	35	210	40	491	85	133	57	94	570	23	67	203	69	69	86	116	188	22
                Paenisporosarcina	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
                Pajaroellobacter	0	0	0	0	0	0	0	33	0	11	0	0	0	0	0	0	0	53	0	0	0	0	0	0
                Paludisphaera	70	120	28	22	35	121	44	270	60	151	96	183	143	45	259	27	92	351	73	53	123	125	651	27
                Paraconexibacter	269	293	119	91	317	851	245	416	176	246	182	445	369	250	1334	168	256	878	143	432	400	291	623	140
                Parafannyhessea	0	0	0	0	0	20	0	38	0	21	0	0	0	0	17	0	0	54	23	0	0	14	0	0
                Parageobacillus	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	19	0	0	0	16	0	0
                Paraoerskovia	95	37	87	161	63	261	43	384	55	782	128	113	86	153	2566	43	126	293	64	105	109	388	241	36
                Pararhizobium	2135	285	392	1938	1883	3327	1199	6631	164	14340	6521	382	2632	1421	10448	441	1577	10808	3478	1202	524	9998	1881	454
                Parascardovia	0	0	11	0	0	20	0	13	0	13	0	0	0	0	19	0	15	14	0	20	12	0	0	0
                Parolsenella	0	0	0	0	0	16	0	54	0	52	0	16	0	0	77	0	19	81	0	0	0	0	19	0
                Pauljensenia	0	0	13	19	0	92	0	60	0	44	17	41	12	0	145	0	15	39	19	43	20	36	39	0
                Pedococcus	3489	1879	2026	1275	2725	8433	2083	7094	1075	2383	2995	2085	911	2990	9056	1950	5216	2238	1222	2235	4786	5278	3071	1825
                Pelolinea	0	0	0	0	0	0	0	22	0	11	12	0	0	0	0	0	0	39	0	0	10	13	0	0
                Pelosinus	43	11	17	0	0	0	0	11	0	0	0	0	0	0	0	106	0	0	0	28	0	0	0	0
                Pengzhenrongella	153	55	86	118	113	369	113	518	94	634	179	219	149	204	2045	84	150	513	135	175	212	364	229	78
                Peptoniphilus	0	15	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0
                Peribacillus	231	172	92	491	320	106	767	247	65	173	313	119	290	124	494	56	116	254	221	115	108	159	1697	29
